TEVdesign,BF_Filename,GFP_Filename,Plate,Replicate,BF,GFP
TEV47,Plate1-replicate1-Snap-11461,Plate1-replicate1-Snap-11462,Plate1,replicate1,1705.2853,19.5836683
TEV64,Plate1-replicate1-Snap-11465,Plate1-replicate1-Snap-11466,Plate1,replicate1,1755.87775,12.097008
TEV87,Plate1-replicate1-Snap-11468,Plate1-replicate1-Snap-11469,Plate1,replicate1,1889.96604,31.0324615
TEV102,Plate1-replicate1-Snap-11471,Plate1-replicate1-Snap-11472,Plate1,replicate1,1859.22791,14.7523885
TEV100,Plate1-replicate1-Snap-11474,Plate1-replicate1-Snap-11475,Plate1,replicate1,1888.18839,25.6417845
TEV95,Plate1-replicate1-Snap-11477,Plate1-replicate1-Snap-11478,Plate1,replicate1,1923.41965,15.0246949
TEV41,Plate1-replicate1-Snap-11480,Plate1-replicate1-Snap-11481,Plate1,replicate1,1481.88655,10.4529973
TEV99,Plate1-replicate1-Snap-11483,Plate1-replicate1-Snap-11484,Plate1,replicate1,1660.52811,12.2858273
PC,Plate1-replicate1-Snap-11486,Plate1-replicate1-Snap-11487,Plate1,replicate1,1530.06929,147.457095
TEV33,Plate1-replicate1-Snap-11489,Plate1-replicate1-Snap-11490,Plate1,replicate1,1594.62651,31.6974289
TEV44,Plate1-replicate1-Snap-11492,Plate1-replicate1-Snap-11493,Plate1,replicate1,1524.09672,5.07717955
TEV32,Plate1-replicate1-Snap-11495,Plate1-replicate1-Snap-11496,Plate1,replicate1,1687.05284,6.89005071
TEV108,Plate1-replicate1-Snap-11498,Plate1-replicate1-Snap-11499,Plate1,replicate1,1743.09469,21.4111875
TEV55,Plate1-replicate1-Snap-11501,Plate1-replicate1-Snap-11502,Plate1,replicate1,1435.18265,4.91445164
TEV9,Plate1-replicate1-Snap-11504,Plate1-replicate1-Snap-11505,Plate1,replicate1,1381.89475,19.0288562
TEV74,Plate1-replicate1-Snap-11507,Plate1-replicate1-Snap-11508,Plate1,replicate1,1505.15054,10.8599011
TEV49,Plate1-replicate1-Snap-11510,Plate1-replicate1-Snap-11511,Plate1,replicate1,1409.13189,4.76356794
NC,Plate1-replicate1-Snap-11513,Plate1-replicate1-Snap-11514,Plate1,replicate1,1605.97849,2.92410123
TEV84,Plate1-replicate1-Snap-11516,Plate1-replicate1-Snap-11517,Plate1,replicate1,1602.59417,2.84790366
TEV82,Plate1-replicate1-Snap-11519,Plate1-replicate1-Snap-11520,Plate1,replicate1,1611.14019,2.5641247
TEV97,Plate1-replicate1-Snap-11522,Plate1-replicate1-Snap-11523,Plate1,replicate1,1692.10049,11.9352983
TEV54,Plate1-replicate1-Snap-11525,Plate1-replicate1-Snap-11527,Plate1,replicate1,1607.48711,6.21624276
TEV3,Plate1-replicate1-Snap-11529,Plate1-replicate1-Snap-11530,Plate1,replicate1,1874.59554,9.27812513
TEV96,Plate1-replicate1-Snap-11532,Plate1-replicate1-Snap-11533,Plate1,replicate1,1836.38652,21.7189885
