batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_70600c64-4fb1-4b6a-b9af-8ba68c774382.cif,70600c64-4fb1-4b6a-b9af-8ba68c774382
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_1a8826ed-9811-4f06-b6ab-1002fb6ffb48.cif,1a8826ed-9811-4f06-b6ab-1002fb6ffb48
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_79756d11-f39f-4374-806b-4fcfd5c3be7b.cif,79756d11-f39f-4374-806b-4fcfd5c3be7b
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_29ee242e-304f-407c-acca-3edfe95a243c.cif,29ee242e-304f-407c-acca-3edfe95a243c
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_4d0c8903-0243-438a-8260-4f7e818c7b61.cif,4d0c8903-0243-438a-8260-4f7e818c7b61
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_f1dd6fd7-39c2-4938-b87c-ddd6fc37f48f.cif,f1dd6fd7-39c2-4938-b87c-ddd6fc37f48f
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_6a0bc26c-f369-4e51-b20c-0958420adad9.cif,6a0bc26c-f369-4e51-b20c-0958420adad9
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_142da989-779a-4bd8-b9a8-8c9ffe322d6a.cif,142da989-779a-4bd8-b9a8-8c9ffe322d6a
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_819e2a99-067b-4063-8101-04e70634775d.cif,819e2a99-067b-4063-8101-04e70634775d
028e127f-09c5-4b88-835e-c51cf914776e,10,2024-01-15 03:02:21.296477,chroma,all_atom_pdb_generation,length = 14,T4 GPU,112.83927965164185 Seconds,11.283927965164185 Seconds (inferred),chroma_len14_692cb18f-3789-478c-b57c-7c9a609eeed3.cif,692cb18f-3789-478c-b57c-7c9a609eeed3
