batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
47b51c56-c690-43c6-b529-b34f2fcd2b72,7,2024-01-17 03:26:12.120536,foldingdiff,backbone_pdb_generation,length = 14,T4 GPU,44.22192049026489 Seconds,6.317417212894985 Seconds (inferred),foldingdiff_len14_d158e000-f8d4-4c9b-8671-6a81b2c6376a.pdb,d158e000-f8d4-4c9b-8671-6a81b2c6376a
47b51c56-c690-43c6-b529-b34f2fcd2b72,7,2024-01-17 03:26:12.120536,foldingdiff,backbone_pdb_generation,length = 14,T4 GPU,44.22192049026489 Seconds,6.317417212894985 Seconds (inferred),foldingdiff_len14_f81bbefc-a9cc-4292-bd98-976130f53c03.pdb,f81bbefc-a9cc-4292-bd98-976130f53c03
47b51c56-c690-43c6-b529-b34f2fcd2b72,7,2024-01-17 03:26:12.120536,foldingdiff,backbone_pdb_generation,length = 14,T4 GPU,44.22192049026489 Seconds,6.317417212894985 Seconds (inferred),foldingdiff_len14_acaa0f09-8833-4386-8905-f0fbaf2e51a5.pdb,acaa0f09-8833-4386-8905-f0fbaf2e51a5
47b51c56-c690-43c6-b529-b34f2fcd2b72,7,2024-01-17 03:26:12.120536,foldingdiff,backbone_pdb_generation,length = 14,T4 GPU,44.22192049026489 Seconds,6.317417212894985 Seconds (inferred),foldingdiff_len14_feb4c8b4-55a5-4d71-8866-63591be9621f.pdb,feb4c8b4-55a5-4d71-8866-63591be9621f
47b51c56-c690-43c6-b529-b34f2fcd2b72,7,2024-01-17 03:26:12.120536,foldingdiff,backbone_pdb_generation,length = 14,T4 GPU,44.22192049026489 Seconds,6.317417212894985 Seconds (inferred),foldingdiff_len14_c07a9920-b59b-4886-81f7-cd6b66c34a14.pdb,c07a9920-b59b-4886-81f7-cd6b66c34a14
47b51c56-c690-43c6-b529-b34f2fcd2b72,7,2024-01-17 03:26:12.120536,foldingdiff,backbone_pdb_generation,length = 14,T4 GPU,44.22192049026489 Seconds,6.317417212894985 Seconds (inferred),foldingdiff_len14_2787a960-9d14-446d-96cb-0208886b2aeb.pdb,2787a960-9d14-446d-96cb-0208886b2aeb
47b51c56-c690-43c6-b529-b34f2fcd2b72,7,2024-01-17 03:26:12.120536,foldingdiff,backbone_pdb_generation,length = 14,T4 GPU,44.22192049026489 Seconds,6.317417212894985 Seconds (inferred),foldingdiff_len14_05979182-40aa-4966-8ae0-10607fc0d685.pdb,05979182-40aa-4966-8ae0-10607fc0d685
640cd2db-e9d0-4548-b240-eb16f785ca3d,2,2024-01-17 03:26:56.599247,foldingdiff,backbone_pdb_generation,length = 15,T4 GPU,36.69951128959656 Seconds,18.34975564479828 Seconds (inferred),foldingdiff_len15_b6c12965-da2b-441d-b72a-f126948c28e7.pdb,b6c12965-da2b-441d-b72a-f126948c28e7
640cd2db-e9d0-4548-b240-eb16f785ca3d,2,2024-01-17 03:26:56.599247,foldingdiff,backbone_pdb_generation,length = 15,T4 GPU,36.69951128959656 Seconds,18.34975564479828 Seconds (inferred),foldingdiff_len15_394fa6d9-f24a-4209-bd7f-dbb2e9130edd.pdb,394fa6d9-f24a-4209-bd7f-dbb2e9130edd
dd40eda2-0f27-4c19-976e-f0054638e464,3,2024-01-17 03:27:33.425120,foldingdiff,backbone_pdb_generation,length = 16,T4 GPU,35.56397008895874 Seconds,11.85465669631958 Seconds (inferred),foldingdiff_len16_af6ae3a1-ed59-441b-9f47-f187b842e91d.pdb,af6ae3a1-ed59-441b-9f47-f187b842e91d
dd40eda2-0f27-4c19-976e-f0054638e464,3,2024-01-17 03:27:33.425120,foldingdiff,backbone_pdb_generation,length = 16,T4 GPU,35.56397008895874 Seconds,11.85465669631958 Seconds (inferred),foldingdiff_len16_e0440ca1-e0e3-40ad-9d9f-2684271d2972.pdb,e0440ca1-e0e3-40ad-9d9f-2684271d2972
dd40eda2-0f27-4c19-976e-f0054638e464,3,2024-01-17 03:27:33.425120,foldingdiff,backbone_pdb_generation,length = 16,T4 GPU,35.56397008895874 Seconds,11.85465669631958 Seconds (inferred),foldingdiff_len16_03a480cd-4612-4ad7-ab39-cbbea9f2a297.pdb,03a480cd-4612-4ad7-ab39-cbbea9f2a297
dc0402f9-e746-4918-a25d-7e5aa17b7185,2,2024-01-17 03:28:09.113293,foldingdiff,backbone_pdb_generation,length = 17,T4 GPU,34.65855956077576 Seconds,17.32927978038788 Seconds (inferred),foldingdiff_len17_2f876232-88b1-4d24-ab52-159474369f58.pdb,2f876232-88b1-4d24-ab52-159474369f58
dc0402f9-e746-4918-a25d-7e5aa17b7185,2,2024-01-17 03:28:09.113293,foldingdiff,backbone_pdb_generation,length = 17,T4 GPU,34.65855956077576 Seconds,17.32927978038788 Seconds (inferred),foldingdiff_len17_0a7d5b5f-8751-4d40-a156-d8530fad7484.pdb,0a7d5b5f-8751-4d40-a156-d8530fad7484
d2a705d2-a31f-4e8d-97e0-b4d72ed0035b,5,2024-01-17 03:28:43.896508,foldingdiff,backbone_pdb_generation,length = 18,T4 GPU,34.28014945983887 Seconds,6.856029891967774 Seconds (inferred),foldingdiff_len18_cb14d6b0-3400-4f06-a391-85e49d249a94.pdb,cb14d6b0-3400-4f06-a391-85e49d249a94
d2a705d2-a31f-4e8d-97e0-b4d72ed0035b,5,2024-01-17 03:28:43.896508,foldingdiff,backbone_pdb_generation,length = 18,T4 GPU,34.28014945983887 Seconds,6.856029891967774 Seconds (inferred),foldingdiff_len18_4ac68765-64b5-4522-b9ec-ae680be743b3.pdb,4ac68765-64b5-4522-b9ec-ae680be743b3
d2a705d2-a31f-4e8d-97e0-b4d72ed0035b,5,2024-01-17 03:28:43.896508,foldingdiff,backbone_pdb_generation,length = 18,T4 GPU,34.28014945983887 Seconds,6.856029891967774 Seconds (inferred),foldingdiff_len18_a6643337-93d0-49e1-8a6b-c842eb6496db.pdb,a6643337-93d0-49e1-8a6b-c842eb6496db
d2a705d2-a31f-4e8d-97e0-b4d72ed0035b,5,2024-01-17 03:28:43.896508,foldingdiff,backbone_pdb_generation,length = 18,T4 GPU,34.28014945983887 Seconds,6.856029891967774 Seconds (inferred),foldingdiff_len18_1059d936-1905-45a8-b953-ce7f77c96f3b.pdb,1059d936-1905-45a8-b953-ce7f77c96f3b
d2a705d2-a31f-4e8d-97e0-b4d72ed0035b,5,2024-01-17 03:28:43.896508,foldingdiff,backbone_pdb_generation,length = 18,T4 GPU,34.28014945983887 Seconds,6.856029891967774 Seconds (inferred),foldingdiff_len18_f487f47c-49ae-4c8c-9af7-e2c5c2c85679.pdb,f487f47c-49ae-4c8c-9af7-e2c5c2c85679
ad319bab-c514-4172-a5ca-679465285a13,5,2024-01-17 03:29:18.302528,foldingdiff,backbone_pdb_generation,length = 19,T4 GPU,35.66313171386719 Seconds,7.132626342773437 Seconds (inferred),foldingdiff_len19_e2cb9cdf-7355-423f-8afc-9464c81ff43d.pdb,e2cb9cdf-7355-423f-8afc-9464c81ff43d
ad319bab-c514-4172-a5ca-679465285a13,5,2024-01-17 03:29:18.302528,foldingdiff,backbone_pdb_generation,length = 19,T4 GPU,35.66313171386719 Seconds,7.132626342773437 Seconds (inferred),foldingdiff_len19_e52cca44-5639-41c8-acea-80f425abe8da.pdb,e52cca44-5639-41c8-acea-80f425abe8da
ad319bab-c514-4172-a5ca-679465285a13,5,2024-01-17 03:29:18.302528,foldingdiff,backbone_pdb_generation,length = 19,T4 GPU,35.66313171386719 Seconds,7.132626342773437 Seconds (inferred),foldingdiff_len19_4096941c-5cc2-4885-89c9-afd8b1eb7fce.pdb,4096941c-5cc2-4885-89c9-afd8b1eb7fce
ad319bab-c514-4172-a5ca-679465285a13,5,2024-01-17 03:29:18.302528,foldingdiff,backbone_pdb_generation,length = 19,T4 GPU,35.66313171386719 Seconds,7.132626342773437 Seconds (inferred),foldingdiff_len19_5260a039-956f-4cf6-a604-3a53551eef7d.pdb,5260a039-956f-4cf6-a604-3a53551eef7d
ad319bab-c514-4172-a5ca-679465285a13,5,2024-01-17 03:29:18.302528,foldingdiff,backbone_pdb_generation,length = 19,T4 GPU,35.66313171386719 Seconds,7.132626342773437 Seconds (inferred),foldingdiff_len19_6471dd79-218c-4d9e-ab61-b5f5f053db52.pdb,6471dd79-218c-4d9e-ab61-b5f5f053db52
04fdd022-07bd-4976-a142-d5a37be2d0d4,3,2024-01-17 03:29:54.105842,foldingdiff,backbone_pdb_generation,length = 20,T4 GPU,35.07003355026245 Seconds,11.690011183420816 Seconds (inferred),foldingdiff_len20_fea3e152-88ed-4227-a8f0-d41dbde9d623.pdb,fea3e152-88ed-4227-a8f0-d41dbde9d623
04fdd022-07bd-4976-a142-d5a37be2d0d4,3,2024-01-17 03:29:54.105842,foldingdiff,backbone_pdb_generation,length = 20,T4 GPU,35.07003355026245 Seconds,11.690011183420816 Seconds (inferred),foldingdiff_len20_4202c924-7d10-40f5-87c7-3299bf9c2852.pdb,4202c924-7d10-40f5-87c7-3299bf9c2852
04fdd022-07bd-4976-a142-d5a37be2d0d4,3,2024-01-17 03:29:54.105842,foldingdiff,backbone_pdb_generation,length = 20,T4 GPU,35.07003355026245 Seconds,11.690011183420816 Seconds (inferred),foldingdiff_len20_877abad7-11ad-4721-96d5-bc91ffa453e8.pdb,877abad7-11ad-4721-96d5-bc91ffa453e8
3431bc68-6bf0-4f57-a46b-2ef3af8b0a8c,3,2024-01-17 03:30:29.314665,foldingdiff,backbone_pdb_generation,length = 21,T4 GPU,36.16763973236084 Seconds,12.055879910786947 Seconds (inferred),foldingdiff_len21_be11a75f-2213-4bfa-93ea-27621e876a68.pdb,be11a75f-2213-4bfa-93ea-27621e876a68
3431bc68-6bf0-4f57-a46b-2ef3af8b0a8c,3,2024-01-17 03:30:29.314665,foldingdiff,backbone_pdb_generation,length = 21,T4 GPU,36.16763973236084 Seconds,12.055879910786947 Seconds (inferred),foldingdiff_len21_79449241-a122-48ad-9ca8-d3d903775d24.pdb,79449241-a122-48ad-9ca8-d3d903775d24
3431bc68-6bf0-4f57-a46b-2ef3af8b0a8c,3,2024-01-17 03:30:29.314665,foldingdiff,backbone_pdb_generation,length = 21,T4 GPU,36.16763973236084 Seconds,12.055879910786947 Seconds (inferred),foldingdiff_len21_d5921dfc-5be7-413b-ad66-65599752fee5.pdb,d5921dfc-5be7-413b-ad66-65599752fee5
8cb8e3b1-b81f-4275-a82b-dc9fdbbbac5d,4,2024-01-17 03:31:05.608368,foldingdiff,backbone_pdb_generation,length = 22,T4 GPU,34.977832555770874 Seconds,8.744458138942719 Seconds (inferred),foldingdiff_len22_55a4c22b-e826-4c38-9846-2d8c4e6b0cd4.pdb,55a4c22b-e826-4c38-9846-2d8c4e6b0cd4
8cb8e3b1-b81f-4275-a82b-dc9fdbbbac5d,4,2024-01-17 03:31:05.608368,foldingdiff,backbone_pdb_generation,length = 22,T4 GPU,34.977832555770874 Seconds,8.744458138942719 Seconds (inferred),foldingdiff_len22_dca560d7-3ca5-4b9a-bb56-916b6e937644.pdb,dca560d7-3ca5-4b9a-bb56-916b6e937644
8cb8e3b1-b81f-4275-a82b-dc9fdbbbac5d,4,2024-01-17 03:31:05.608368,foldingdiff,backbone_pdb_generation,length = 22,T4 GPU,34.977832555770874 Seconds,8.744458138942719 Seconds (inferred),foldingdiff_len22_742b3850-071c-403e-8fe4-9eda435d9407.pdb,742b3850-071c-403e-8fe4-9eda435d9407
8cb8e3b1-b81f-4275-a82b-dc9fdbbbac5d,4,2024-01-17 03:31:05.608368,foldingdiff,backbone_pdb_generation,length = 22,T4 GPU,34.977832555770874 Seconds,8.744458138942719 Seconds (inferred),foldingdiff_len22_57a9929d-01c2-4a75-8105-d8a2c7822c9c.pdb,57a9929d-01c2-4a75-8105-d8a2c7822c9c
b197f20d-d58f-4f10-aa4d-6dd18009e659,6,2024-01-17 03:31:40.722745,foldingdiff,backbone_pdb_generation,length = 23,T4 GPU,35.865662813186646 Seconds,5.977610468864441 Seconds (inferred),foldingdiff_len23_9e070950-6322-4d01-8e21-1b06aebe93d6.pdb,9e070950-6322-4d01-8e21-1b06aebe93d6
b197f20d-d58f-4f10-aa4d-6dd18009e659,6,2024-01-17 03:31:40.722745,foldingdiff,backbone_pdb_generation,length = 23,T4 GPU,35.865662813186646 Seconds,5.977610468864441 Seconds (inferred),foldingdiff_len23_9e454e22-d810-45d8-bf18-c9d08aed2841.pdb,9e454e22-d810-45d8-bf18-c9d08aed2841
b197f20d-d58f-4f10-aa4d-6dd18009e659,6,2024-01-17 03:31:40.722745,foldingdiff,backbone_pdb_generation,length = 23,T4 GPU,35.865662813186646 Seconds,5.977610468864441 Seconds (inferred),foldingdiff_len23_3f96ae0d-5e24-4a2f-80f1-1dfa305c38f1.pdb,3f96ae0d-5e24-4a2f-80f1-1dfa305c38f1
b197f20d-d58f-4f10-aa4d-6dd18009e659,6,2024-01-17 03:31:40.722745,foldingdiff,backbone_pdb_generation,length = 23,T4 GPU,35.865662813186646 Seconds,5.977610468864441 Seconds (inferred),foldingdiff_len23_b123b1c8-19a6-487d-a7e7-422137b28b33.pdb,b123b1c8-19a6-487d-a7e7-422137b28b33
b197f20d-d58f-4f10-aa4d-6dd18009e659,6,2024-01-17 03:31:40.722745,foldingdiff,backbone_pdb_generation,length = 23,T4 GPU,35.865662813186646 Seconds,5.977610468864441 Seconds (inferred),foldingdiff_len23_1e17f643-c25b-4c8c-befe-93e514378938.pdb,1e17f643-c25b-4c8c-befe-93e514378938
b197f20d-d58f-4f10-aa4d-6dd18009e659,6,2024-01-17 03:31:40.722745,foldingdiff,backbone_pdb_generation,length = 23,T4 GPU,35.865662813186646 Seconds,5.977610468864441 Seconds (inferred),foldingdiff_len23_b4977645-1d1c-416c-9a56-169a96e482db.pdb,b4977645-1d1c-416c-9a56-169a96e482db
b97b7fc2-a227-4238-956b-bc05a153ac75,3,2024-01-17 03:32:16.718581,foldingdiff,backbone_pdb_generation,length = 24,T4 GPU,34.37035250663757 Seconds,11.45678416887919 Seconds (inferred),foldingdiff_len24_6c2e08d0-5e43-4dff-bfc7-dedb89b0fc32.pdb,6c2e08d0-5e43-4dff-bfc7-dedb89b0fc32
b97b7fc2-a227-4238-956b-bc05a153ac75,3,2024-01-17 03:32:16.718581,foldingdiff,backbone_pdb_generation,length = 24,T4 GPU,34.37035250663757 Seconds,11.45678416887919 Seconds (inferred),foldingdiff_len24_bbd9d250-72eb-49f8-99f0-8439dbac17b0.pdb,bbd9d250-72eb-49f8-99f0-8439dbac17b0
b97b7fc2-a227-4238-956b-bc05a153ac75,3,2024-01-17 03:32:16.718581,foldingdiff,backbone_pdb_generation,length = 24,T4 GPU,34.37035250663757 Seconds,11.45678416887919 Seconds (inferred),foldingdiff_len24_ec8398ba-475b-4455-9226-6c5af906b133.pdb,ec8398ba-475b-4455-9226-6c5af906b133
a8a4985b-e64f-47ff-9f9c-c6b907135028,2,2024-01-17 03:32:51.215313,foldingdiff,backbone_pdb_generation,length = 25,T4 GPU,34.475542306900024 Seconds,17.237771153450012 Seconds (inferred),foldingdiff_len25_23822c7a-4371-4b33-b983-d4ef1106fed5.pdb,23822c7a-4371-4b33-b983-d4ef1106fed5
a8a4985b-e64f-47ff-9f9c-c6b907135028,2,2024-01-17 03:32:51.215313,foldingdiff,backbone_pdb_generation,length = 25,T4 GPU,34.475542306900024 Seconds,17.237771153450012 Seconds (inferred),foldingdiff_len25_2985ab44-74fd-4f73-9abb-764e0b9c9c81.pdb,2985ab44-74fd-4f73-9abb-764e0b9c9c81
045e615d-431b-499d-abca-2d149a1b5c3a,6,2024-01-17 03:33:25.809859,foldingdiff,backbone_pdb_generation,length = 26,T4 GPU,38.31003212928772 Seconds,6.385005354881287 Seconds (inferred),foldingdiff_len26_d3c4cd54-dc2d-4571-93bb-20e5bdecb4e9.pdb,d3c4cd54-dc2d-4571-93bb-20e5bdecb4e9
045e615d-431b-499d-abca-2d149a1b5c3a,6,2024-01-17 03:33:25.809859,foldingdiff,backbone_pdb_generation,length = 26,T4 GPU,38.31003212928772 Seconds,6.385005354881287 Seconds (inferred),foldingdiff_len26_ac78bc4e-fc60-4c6d-8a59-d70cddb74523.pdb,ac78bc4e-fc60-4c6d-8a59-d70cddb74523
045e615d-431b-499d-abca-2d149a1b5c3a,6,2024-01-17 03:33:25.809859,foldingdiff,backbone_pdb_generation,length = 26,T4 GPU,38.31003212928772 Seconds,6.385005354881287 Seconds (inferred),foldingdiff_len26_1f9a131f-cc58-4777-bd7a-cdfe698d1251.pdb,1f9a131f-cc58-4777-bd7a-cdfe698d1251
045e615d-431b-499d-abca-2d149a1b5c3a,6,2024-01-17 03:33:25.809859,foldingdiff,backbone_pdb_generation,length = 26,T4 GPU,38.31003212928772 Seconds,6.385005354881287 Seconds (inferred),foldingdiff_len26_2beaab65-c3a2-4661-8933-c9724181506c.pdb,2beaab65-c3a2-4661-8933-c9724181506c
045e615d-431b-499d-abca-2d149a1b5c3a,6,2024-01-17 03:33:25.809859,foldingdiff,backbone_pdb_generation,length = 26,T4 GPU,38.31003212928772 Seconds,6.385005354881287 Seconds (inferred),foldingdiff_len26_970ef0a9-4764-4663-aa71-4ab696b3fb37.pdb,970ef0a9-4764-4663-aa71-4ab696b3fb37
