entity_id,batch_id,batch_size,Timestamp,model,task,conditions,wall_time_batch,gpu,output_file_name,wall_time_task
4941daaa-5481-48e6-9918-92237ff16503,,,2024-02-05 23:00:33.983327,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_4941daaa-5481-48e6-9918-92237ff16503.pdb,239.25069297999997 Seconds
bbf2ae29-6cc0-4b51-a42b-501b7c6d0398,,,2024-02-05 23:04:36.253225,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_bbf2ae29-6cc0-4b51-a42b-501b7c6d0398.pdb,243.38196187700004 Seconds
31ceb8c7-e260-4acd-8b0b-a901d771ff68,,,2024-02-05 23:08:40.494490,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_31ceb8c7-e260-4acd-8b0b-a901d771ff68.pdb,244.08134912600008 Seconds
4c5d6456-d4de-4815-b409-7a0872d3c45d,,,2024-02-05 23:12:45.581684,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_4c5d6456-d4de-4815-b409-7a0872d3c45d.pdb,243.422280323 Seconds
300099f0-aebe-4d85-892d-ce54c3fe4b96,,,2024-02-05 23:16:49.889414,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_300099f0-aebe-4d85-892d-ce54c3fe4b96.pdb,243.7762353569999 Seconds
d2bf4e89-9f75-4060-9dd4-8abd6e593b8e,,,2024-02-05 23:20:54.568866,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_d2bf4e89-9f75-4060-9dd4-8abd6e593b8e.pdb,243.64479309499984 Seconds
a3e96658-cb36-4ff0-9234-b8d5c902fe45,,,2024-02-05 23:24:59.130047,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_a3e96658-cb36-4ff0-9234-b8d5c902fe45.pdb,244.23589758899993 Seconds
c80fb2f2-dcc7-426d-9d2e-c06d5c455919,,,2024-02-05 23:29:04.329252,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_c80fb2f2-dcc7-426d-9d2e-c06d5c455919.pdb,243.69506640500003 Seconds
d216bf92-a3c2-496f-abde-3ea9c7417152,,,2024-02-05 23:33:09.421961,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_d216bf92-a3c2-496f-abde-3ea9c7417152.pdb,243.8559089790001 Seconds
23113563-4654-4a89-89b5-de9c6e52e312,,,2024-02-05 23:37:14.167175,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_23113563-4654-4a89-89b5-de9c6e52e312.pdb,243.82712904400023 Seconds
a99f1b47-de73-4ab0-b6db-ef221a73bf5d,,,2024-02-05 23:41:19.027853,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_a99f1b47-de73-4ab0-b6db-ef221a73bf5d.pdb,244.1474302659999 Seconds
b45fc8e5-7750-424e-8e2a-9c102c1e390b,,,2024-02-05 23:45:24.112209,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_b45fc8e5-7750-424e-8e2a-9c102c1e390b.pdb,244.072702552 Seconds
2a701480-366c-4bbe-ab8e-62eeb6673e23,,,2024-02-05 23:49:29.086782,genie_swissprot_l_256,backbone_pdb_generation,length = 14,,T4 GPU,genie_len14_2a701480-366c-4bbe-ab8e-62eeb6673e23.pdb,245.53747159299974 Seconds
0b5cc570-bdee-4cab-8fc3-d9599758cafb,,,2024-02-05 23:53:35.994479,genie_swissprot_l_256,backbone_pdb_generation,length = 15,,T4 GPU,genie_len15_0b5cc570-bdee-4cab-8fc3-d9599758cafb.pdb,246.14772971699995 Seconds
edb65bd3-278d-4f88-a8b8-0227eeef665b,,,2024-02-05 23:57:43.209597,genie_swissprot_l_256,backbone_pdb_generation,length = 15,,T4 GPU,genie_len15_edb65bd3-278d-4f88-a8b8-0227eeef665b.pdb,246.30425565399992 Seconds
74a83d9e-4354-4bb0-ba0f-d8690a25cc5a,,,2024-02-06 00:01:50.685177,genie_swissprot_l_256,backbone_pdb_generation,length = 15,,T4 GPU,genie_len15_74a83d9e-4354-4bb0-ba0f-d8690a25cc5a.pdb,246.29665983699988 Seconds
8941be41-2fbe-400c-9416-acf6aa697cca,,,2024-02-06 00:05:58.094557,genie_swissprot_l_256,backbone_pdb_generation,length = 16,,T4 GPU,genie_len16_8941be41-2fbe-400c-9416-acf6aa697cca.pdb,245.25642526599995 Seconds
dbd6fe92-921d-4c28-b4d9-ba7f8ce2ff6f,,,2024-02-06 00:10:04.327093,genie_swissprot_l_256,backbone_pdb_generation,length = 16,,T4 GPU,genie_len16_dbd6fe92-921d-4c28-b4d9-ba7f8ce2ff6f.pdb,245.06881320899993 Seconds
73418cb9-43f4-4057-bae0-4db30fff460e,,,2024-02-06 00:14:10.259749,genie_swissprot_l_256,backbone_pdb_generation,length = 16,,T4 GPU,genie_len16_73418cb9-43f4-4057-bae0-4db30fff460e.pdb,244.28729682599987 Seconds
1f68ef89-7fb9-4b4b-ab59-66a88c39379b,,,2024-02-06 00:18:15.401932,genie_swissprot_l_256,backbone_pdb_generation,length = 16,,T4 GPU,genie_len16_1f68ef89-7fb9-4b4b-ab59-66a88c39379b.pdb,243.58640374200058 Seconds
ab43d12b-7ba2-4ba1-be4f-4ed596200057,,,2024-02-06 00:22:20.444629,genie_swissprot_l_256,backbone_pdb_generation,length = 16,,T4 GPU,genie_len16_ab43d12b-7ba2-4ba1-be4f-4ed596200057.pdb,243.91400339699976 Seconds
