batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
6f098b3b-81c9-483c-ba11-ecc09aa702f2,5.0,2024-03-13 04:55:34.672783,proteinsgm,backbone generation (6D),length = 40,T4 GPU,636.3726663589478 Seconds,127.27453327178955 Seconds (inferred),len_40.pkl,
fca7044c-c8c2-4498-9dcc-702e21bbeba1,4.0,2024-03-13 05:06:11.163769,proteinsgm,backbone generation (6D),length = 41,T4 GPU,541.1744124889374 Seconds,135.29360312223434 Seconds (inferred),len_41.pkl,
d0244fa9-8ca6-4a58-82cc-e44099729a7e,6.0,2024-03-13 05:15:12.458151,proteinsgm,backbone generation (6D),length = 42,T4 GPU,797.8516006469727 Seconds,132.97526677449545 Seconds (inferred),len_42.pkl,
8df6708b-11a5-426e-8cd4-a6da5e104aa6,5.0,2024-03-13 05:28:30.430418,proteinsgm,backbone generation (6D),length = 43,T4 GPU,653.659517288208 Seconds,130.7319034576416 Seconds (inferred),len_43.pkl,
5afdf803-ea03-4c60-aa68-83ff8fd4e605,4.0,2024-03-13 05:39:24.209053,proteinsgm,backbone generation (6D),length = 44,T4 GPU,540.1459283828735 Seconds,135.03648209571838 Seconds (inferred),len_44.pkl,
dadaa04b-32b9-4f07-a730-c532317afe11,5.0,2024-03-13 05:48:24.489419,proteinsgm,backbone generation (6D),length = 45,T4 GPU,653.2812757492065 Seconds,130.65625514984131 Seconds (inferred),len_45.pkl,
8c65c1a9-75fe-4138-bc97-5a7e046f69fc,3.0,2024-03-13 05:59:17.905076,proteinsgm,backbone generation (6D),length = 46,T4 GPU,416.12028789520264 Seconds,138.70676263173422 Seconds (inferred),len_46.pkl,
d9fa009b-da8a-4466-8025-8a6a5babdac6,4.0,2024-03-13 06:06:14.144652,proteinsgm,backbone generation (6D),length = 47,T4 GPU,541.8402588367462 Seconds,135.46006470918655 Seconds (inferred),len_47.pkl,
11ec68bb-a1fe-4ea4-b53c-276cd5e5fe1c,2.0,2024-03-13 06:15:16.100439,proteinsgm,backbone generation (6D),length = 48,T4 GPU,285.38222575187683 Seconds,142.69111287593842 Seconds (inferred),len_48.pkl,
8199b56a-7919-4cf5-b979-5c38e3026918,5.0,2024-03-13 06:20:01.601811,proteinsgm,backbone generation (6D),length = 49,T4 GPU,653.8698101043701 Seconds,130.77396202087402 Seconds (inferred),len_49.pkl,
7c311c56-8f7c-4914-85cb-ff8dd40e2d1b,5.0,2024-03-13 06:30:55.600168,proteinsgm,backbone generation (6D),length = 50,T4 GPU,652.7890906333923 Seconds,130.55781812667846 Seconds (inferred),len_50.pkl,
edf6971b-c0b0-42fe-82df-513cbefccbca,7.0,2024-03-13 06:41:48.506989,proteinsgm,backbone generation (6D),length = 51,T4 GPU,917.9522731304169 Seconds,131.13603901863098 Seconds (inferred),len_51.pkl,
2b94bbfa-f3bc-4cee-8b15-d83f42285466,11.0,2024-03-13 06:57:06.579402,proteinsgm,backbone generation (6D),length = 52,T4 GPU,1441.2632360458374 Seconds,131.02393054962158 Seconds (inferred),len_52.pkl,
f7f6291f-24cf-4b1f-ab3a-2f12a0252fe9,23.0,2024-03-13 07:21:07.960549,proteinsgm,backbone generation (6D),length = 53,T4 GPU,2921.920367002487 Seconds,127.04001595662987 Seconds (inferred),len_53.pkl,
8474c080-2d65-414b-a745-a655da8ab2e7,22.0,2024-03-13 08:09:50.003989,proteinsgm,backbone generation (6D),length = 54,T4 GPU,2847.6703939437866 Seconds,129.4395633610812 Seconds (inferred),len_54.pkl,
568edbe6-e19e-47dc-93f0-f272b0f66f44,13.0,2024-03-13 08:57:17.792745,proteinsgm,backbone generation (6D),length = 55,T4 GPU,1566.449937582016 Seconds,120.49614904477046 Seconds (inferred),len_55.pkl,
a125a3ef-23bb-4ce5-8a53-9ff995b709f6,14.0,2024-03-13 09:23:24.361134,proteinsgm,backbone generation (6D),length = 56,T4 GPU,1630.7863864898682 Seconds,116.48474189213344 Seconds (inferred),len_56.pkl,
09553322-a110-4b40-9699-7d350207ae92,13.0,2024-03-13 09:50:35.265454,proteinsgm,backbone generation (6D),length = 57,T4 GPU,1569.189122915268 Seconds,120.70685560886676 Seconds (inferred),len_57.pkl,
