model,task,input_file_path,output_dir_path,Timestamp,gpu,batch_id,batch_size,wall_time_batch,wall_time_task
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/Utilities/fold_inputs/all_len100.fa,/content/drive/MyDrive/Generative_Models/Utilities/omegafold/all_len100,2024-04-04 22:44:53.835326,T4 GPU,ddfe6bd0-8d52-4c84-8bb9-049d8574a3c8,735,14482.58325266838 Seconds,19.704194901589634 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len14.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len14,2024-06-12 04:31:43.261994,T4 GPU,82c45966-bbb1-4de8-9943-ff095143eda1,407,2313.8140523433685 Seconds,5.685046811654468 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len15.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len15,2024-06-12 05:33:14.447845,T4 GPU,a7764088-4456-4d8a-bf15-cd1f1f554aff,148,868.1070737838745 Seconds,5.86558833637753 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len16.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len16,2024-06-12 05:47:43.007128,T4 GPU,743b6d5b-40f9-448d-ba39-f3225cdc1b7d,218,1236.8227005004883 Seconds,5.673498626149029 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len17.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len17,2024-06-12 06:08:20.340335,T4 GPU,0f7f316d-72d6-48b3-896d-45401f2b9f65,213,1267.4307816028595 Seconds,5.950379256351453 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len18.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len18,2024-06-12 06:29:28.373477,T4 GPU,1064af9d-dbf8-43fb-a16c-ed1109e39de8,204,1228.7890174388885 Seconds,6.023475575680826 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len19.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len19,2024-06-12 06:49:57.675975,T4 GPU,9b865ce5-7a59-4791-b817-d06ee6116f39,228,1372.5503506660461 Seconds,6.019957678359852 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len20.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len20,2024-06-12 07:12:50.802748,T4 GPU,74380d15-efd5-4027-aa12-fbeda02aace8,208,1259.7988843917847 Seconds,6.056725405729734 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len21.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len21,2024-06-12 07:33:51.076517,T4 GPU,9cf1b53f-7031-4577-a14f-be8a1ed98379,242,1514.260751247406 Seconds,6.257275831600851 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len22.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len22,2024-06-12 07:59:05.852337,T4 GPU,e5ba5aa2-caed-467f-bd7e-00070dfe5de6,215,1339.2774875164032 Seconds,6.229197616355363 Seconds (inferred)
