model,task,input_file_path,output_dir_path,Timestamp,gpu,batch_id,batch_size,wall_time_batch,wall_time_task
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len51.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len51,2024-06-12 04:35:22.878756,T4 GPU,5f65de02-d286-4bfc-bef1-8882b3da46d6,556,4733.64634513855 Seconds,8.513752419313938 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len52.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len52,2024-06-12 05:55:37.396706,T4 GPU,708772e6-feee-4164-82c2-7415395f2403,856,7403.952155828476 Seconds,8.64947681755663 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len53.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len53,2024-06-12 07:59:01.622717,T4 GPU,750f9a40-61d0-4e36-8603-db93eb4cc3a3,992,8344.820393323898 Seconds,8.412117331979736 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len54.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len54,2024-06-12 10:18:06.780274,T4 GPU,f97fa604-9ba7-43c2-ae03-26f00b864848,939,8012.786317586899 Seconds,8.533318762073375 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len55.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len55,2024-06-12 12:31:39.874345,T4 GPU,fb13c73f-573f-4b9a-ba97-8ab2241cdd8f,871,7523.387149810791 Seconds,8.637643111149014 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len56.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len56,2024-06-12 14:37:03.644189,T4 GPU,a5934b18-6241-438c-ac3c-7e7acb931104,950,8309.039966583252 Seconds,8.746357859561318 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len57.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len57,2024-06-12 16:55:32.981825,T4 GPU,706cf5d5-9155-497f-bd33-c2b974f58a5b,933,8927.239842176437 Seconds,9.568317087005829 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len58.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len58,2024-06-12 19:24:20.528344,T4 GPU,81be539d-993c-4b50-917a-9a2053fbede1,965,9367.475660085678 Seconds,9.70722866330122 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len59.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len59,2024-06-12 22:00:28.312104,T4 GPU,2b4236fc-146b-4312-9755-4c939876eae6,876,8662.90829706192 Seconds,9.889164722673424 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len60.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len60,2024-06-13 00:24:51.521537,T4 GPU,5a606a08-9454-4d2b-933a-641c97b742c5,744,7492.56281709671 Seconds,10.070648947710632 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len14.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len14,2024-06-13 06:36:02.239077,T4 GPU,7dab4d77-8539-408b-b07b-aa46b3b36621,24,186.43542623519897 Seconds,7.768142759799957 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len15.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len15,2024-06-13 06:39:10.589282,T4 GPU,2cbeaeca-0ef6-4762-9659-03aec1cd633d,17,136.55229210853577 Seconds,8.03248777109034 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len16.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len16,2024-06-13 06:41:28.010814,T4 GPU,17d56c09-60d6-47fc-abb5-0852a0f51043,21,163.74144339561462 Seconds,7.797211590267363 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len17.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len17,2024-06-13 06:44:12.636140,T4 GPU,8e87af33-17b8-4a6d-b651-5712eb2a1493,10,96.52110290527344 Seconds,9.652110290527343 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len18.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len18,2024-06-13 06:45:50.062920,T4 GPU,15d310a1-3b10-408b-9ff2-8955e763840c,16,132.1593155860901 Seconds,8.25995722413063 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len19.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len19,2024-06-13 06:48:03.109231,T4 GPU,985eedfc-b09c-44ec-9ffe-3eae1d9d7939,19,161.92402720451355 Seconds,8.522317221290187 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len20.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len20,2024-06-13 06:50:46.028856,T4 GPU,27b9c684-f917-4cdb-bb3a-9253c96fb0ff,8,78.97289729118347 Seconds,9.871612161397934 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len21.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len21,2024-06-13 06:52:06.396544,T4 GPU,8eba1bd6-ce62-4a39-b34a-64d6f93026fe,11,105.69146251678467 Seconds,9.608314774253152 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len22.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len22,2024-06-13 06:53:52.987366,T4 GPU,089424ae-fbc5-47c3-ad4c-8a50e14ae09e,13,115.10364866256714 Seconds,8.854126820197472 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len23.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len23,2024-06-13 06:55:49.040386,T4 GPU,f4f300a9-f3d1-49d3-9b8e-108823e4c3ef,15,133.37086009979248 Seconds,8.8913906733195 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len24.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len24,2024-06-13 06:58:03.341150,T4 GPU,f566e921-9565-41f5-a9ff-a6edd42d77bb,11,101.35672736167908 Seconds,9.214247941970825 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/refold_inputs/all_len25.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len25,2024-06-13 06:59:45.539656,T4 GPU,edd6000e-4573-4325-8171-6d1fd4675bc7,18,156.82526755332947 Seconds,8.71251486407386 Seconds (inferred)
