model,input_file_path,entity_id,gen_model,task,Timestamp,gpu,output_file_path,num_designs,wall_time_task,score,global_score,fixed_chains,designed_chains,CA_model_name,git_hash,seed
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_06cc55b4-c549-45f5-b5d0-38f999f290cb.pdb,06cc55b4-c549-45f5-b5d0-38f999f290cb,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:34:07.561228,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_06cc55b4-c549-45f5-b5d0-38f999f290cb.fa,10,17.789294242858887 Seconds,2.8223,2.8223,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,65
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_d858977c-980f-41f6-abdc-10bcb2331680.pdb,d858977c-980f-41f6-abdc-10bcb2331680,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:34:25.400879,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_d858977c-980f-41f6-abdc-10bcb2331680.fa,10,18.18731689453125 Seconds,2.8456,2.8456,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,201
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_96031dd0-9b58-425e-b0db-a7bd0347cf87.pdb,96031dd0-9b58-425e-b0db-a7bd0347cf87,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:34:43.620223,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_96031dd0-9b58-425e-b0db-a7bd0347cf87.fa,10,22.244973182678223 Seconds,2.8954,2.8954,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,215
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_c44462fd-e20b-4f78-b147-af279a30af71.pdb,c44462fd-e20b-4f78-b147-af279a30af71,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:35:05.899811,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_c44462fd-e20b-4f78-b147-af279a30af71.fa,10,17.56941056251526 Seconds,2.8847,2.8847,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,958
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_9fb6f4cf-c2cd-4144-9ca4-4b7aca9fa989.pdb,9fb6f4cf-c2cd-4144-9ca4-4b7aca9fa989,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:35:23.504224,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_9fb6f4cf-c2cd-4144-9ca4-4b7aca9fa989.fa,10,17.479437112808228 Seconds,2.8726,2.8726,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,773
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_8cba199b-0279-4874-8401-2b4f9550bd7a.pdb,8cba199b-0279-4874-8401-2b4f9550bd7a,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:35:41.068580,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_8cba199b-0279-4874-8401-2b4f9550bd7a.fa,10,18.10347032546997 Seconds,2.7458,2.7458,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,136
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_9a16ea08-a6a9-4d4b-8e79-53ef440ade89.pdb,9a16ea08-a6a9-4d4b-8e79-53ef440ade89,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:35:59.218490,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_9a16ea08-a6a9-4d4b-8e79-53ef440ade89.fa,10,17.675426721572876 Seconds,2.8391,2.8391,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,551
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_4f615069-8677-4921-a680-c2c7235bbc70.pdb,4f615069-8677-4921-a680-c2c7235bbc70,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:36:16.929366,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_4f615069-8677-4921-a680-c2c7235bbc70.fa,10,16.774728536605835 Seconds,2.7805,2.7805,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,693
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_221414c6-ef7d-4a90-b60f-8c3bbd4c51f4.pdb,221414c6-ef7d-4a90-b60f-8c3bbd4c51f4,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:36:33.736279,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_221414c6-ef7d-4a90-b60f-8c3bbd4c51f4.fa,10,17.27336096763611 Seconds,2.8511,2.8511,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,426
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_0ff27e91-3eac-4948-ba70-bc4cb3516c0d.pdb,0ff27e91-3eac-4948-ba70-bc4cb3516c0d,RFdiffusion_150it,Sequence Redesign (fixed motif),2024-06-23 05:36:51.042118,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns_fixed/seqs/rfdiffusion_il10_mono_0ff27e91-3eac-4948-ba70-bc4cb3516c0d.fa,10,17.079070568084717 Seconds,2.7103,2.7103,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,888
