model,input_file_path,entity_id,gen_model,task,Timestamp,gpu,output_file_path,num_designs,wall_time_task,score,global_score,fixed_chains,designed_chains,CA_model_name,git_hash,seed
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_06cc55b4-c549-45f5-b5d0-38f999f290cb.pdb,06cc55b4-c549-45f5-b5d0-38f999f290cb,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:53:05.698846,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_06cc55b4-c549-45f5-b5d0-38f999f290cb.fa,10,21.190816164016724 Seconds,2.8018,2.8018,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,438
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_d858977c-980f-41f6-abdc-10bcb2331680.pdb,d858977c-980f-41f6-abdc-10bcb2331680,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:53:26.937610,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_d858977c-980f-41f6-abdc-10bcb2331680.fa,10,20.089817762374878 Seconds,2.859,2.859,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,256
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_96031dd0-9b58-425e-b0db-a7bd0347cf87.pdb,96031dd0-9b58-425e-b0db-a7bd0347cf87,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:53:47.063561,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_96031dd0-9b58-425e-b0db-a7bd0347cf87.fa,10,20.199052333831787 Seconds,2.9048,2.9048,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,334
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_c44462fd-e20b-4f78-b147-af279a30af71.pdb,c44462fd-e20b-4f78-b147-af279a30af71,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:54:07.295123,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_c44462fd-e20b-4f78-b147-af279a30af71.fa,10,20.40858817100525 Seconds,2.933,2.933,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,451
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_9fb6f4cf-c2cd-4144-9ca4-4b7aca9fa989.pdb,9fb6f4cf-c2cd-4144-9ca4-4b7aca9fa989,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:54:27.732768,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_9fb6f4cf-c2cd-4144-9ca4-4b7aca9fa989.fa,10,19.18513512611389 Seconds,2.8837,2.8837,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,863
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_8cba199b-0279-4874-8401-2b4f9550bd7a.pdb,8cba199b-0279-4874-8401-2b4f9550bd7a,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:54:46.948010,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_8cba199b-0279-4874-8401-2b4f9550bd7a.fa,10,21.205612659454346 Seconds,2.8069,2.8069,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,324
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_9a16ea08-a6a9-4d4b-8e79-53ef440ade89.pdb,9a16ea08-a6a9-4d4b-8e79-53ef440ade89,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:55:08.181445,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_9a16ea08-a6a9-4d4b-8e79-53ef440ade89.fa,10,20.004103422164917 Seconds,2.8431,2.8431,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,795
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_4f615069-8677-4921-a680-c2c7235bbc70.pdb,4f615069-8677-4921-a680-c2c7235bbc70,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:55:28.237414,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_4f615069-8677-4921-a680-c2c7235bbc70.fa,10,22.497270584106445 Seconds,2.8104,2.8104,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,362
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_221414c6-ef7d-4a90-b60f-8c3bbd4c51f4.pdb,221414c6-ef7d-4a90-b60f-8c3bbd4c51f4,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:55:50.762802,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_221414c6-ef7d-4a90-b60f-8c3bbd4c51f4.fa,10,19.788848400115967 Seconds,2.8215,2.8215,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,572
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_0ff27e91-3eac-4948-ba70-bc4cb3516c0d.pdb,0ff27e91-3eac-4948-ba70-bc4cb3516c0d,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:56:10.580448,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_0ff27e91-3eac-4948-ba70-bc4cb3516c0d.fa,10,20.39754557609558 Seconds,2.6965,2.6965,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,233
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_f01745ec-99e9-4ca4-acf5-2efec61b2e3f.pdb,f01745ec-99e9-4ca4-acf5-2efec61b2e3f,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:56:31.009094,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_f01745ec-99e9-4ca4-acf5-2efec61b2e3f.fa,10,20.5954270362854 Seconds,2.798,2.798,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,288
ProteinMPNN,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/rfdiffusion_il10_mono_1b4e00d7-442e-4590-8938-b72374cd28f7.pdb,1b4e00d7-442e-4590-8938-b72374cd28f7,RFdiffusion_150it,Sequence Redesign,2024-05-16 00:56:51.638614,T4 GPU,/content/drive/MyDrive/Generative_Models/IL10_scaffolding/rfdiffusion_il10/MPNN_redesigns/seqs/rfdiffusion_il10_mono_1b4e00d7-442e-4590-8938-b72374cd28f7.fa,10,19.594255685806274 Seconds,2.8398,2.8398,[],['A'],v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,202
